# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_Zeeman (J)	E_exch (J)	E_anis (J)	E_demag (J)
0	0.07000093	0.9975469	0	0.07	0	0	-1.6764064e-16	-1.6366098e-18	5.6010063e-24	-1.6618248e-16	1.7843912e-19
0	0.06000079	0.9981984	0	0.06	0	0	-1.6742353e-16	-1.2024072e-18	4.2493373e-24	-1.6639957e-16	1.7844997e-19
0	0.050000664	0.9987492	0	0.05000001	0	0	-1.6723983e-16	-8.3500507e-19	3.1039395e-24	-1.665833e-16	1.7845918e-19
0	0.040000528	0.9991996	0	0.039999995	0	0	-1.6708954e-16	-5.344033e-19	2.1663286e-24	-1.667336e-16	1.7846671e-19
0	0.030000402	0.9995499	0	0.03	0	0	-1.6697263e-16	-3.006019e-19	1.4369224e-24	-1.6685051e-16	1.7847259e-19
0	0.020000268	0.9998	0	0.019999998	0	0	-1.6688911e-16	-1.3360084e-19	9.169219e-25	-1.6693401e-16	1.7847677e-19
0	0.010000132	0.99995	0	0.009999999	0	0	-1.6683903e-16	-3.340021e-20	6.0470645e-25	-1.6698411e-16	1.7847926e-19
0	2.1310558e-09	1	0	-9.749146e-16	0	0	-1.6682232e-16	6.93912e-40	5.005464e-25	-1.670008e-16	1.784801e-19
0	-0.01000013	0.99995	0	-0.009999999	0	0	-1.6683903e-16	-3.3400196e-20	6.047578e-25	-1.6698411e-16	1.7847929e-19
0	-0.020000262	0.9998	0	-0.019999998	0	0	-1.6688911e-16	-1.336008e-19	9.172918e-25	-1.66934e-16	1.7847675e-19
0	-0.030000392	0.9995499	0	-0.03	0	0	-1.6697264e-16	-3.006018e-19	1.4380873e-24	-1.6685052e-16	1.7847257e-19
0	-0.04000052	0.9991997	0	-0.039999995	0	0	-1.6708953e-16	-5.344032e-19	2.1675592e-24	-1.667336e-16	1.784667e-19
0	-0.050000653	0.9987492	0	-0.05000001	0	0	-1.6723984e-16	-8.3500497e-19	3.1055202e-24	-1.6658328e-16	1.7845915e-19
0	-0.060000777	0.99819833	0	-0.06	0	0	-1.6742353e-16	-1.202407e-18	4.2519528e-24	-1.663996e-16	1.7844997e-19
0	-0.0700009	0.9975469	0	-0.07	0	0	-1.6764064e-16	-1.6366096e-18	5.60479e-24	-1.6618248e-16	1.7843909e-19
0	-0.08000104	0.9967947	0	-0.07999999	0	0	-1.6789115e-16	-2.1376125e-18	7.1660424e-24	-1.6593194e-16	1.7842655e-19
0	-0.09000118	0.99594164	0	-0.090000026	0	0	-1.6817503e-16	-2.705416e-18	8.935456e-24	-1.6564805e-16	1.7841238e-19
